type,name,symbol,id
stocks,GDS Global,5VP,-236
stocks,Genting Sing,G13,-237
stocks,Geo Energy Res,RE4,-238
stocks,GKE,595,-239
stocks,GL,B16,-240
etfs,GLD US$,O87,-241
stocks,Global Dragon,586,-242
stocks,Global Inv,B73,-243
stocks,Global Palm Res,BLW,-244
stocks,Global Testing,AYN,-245
stocks,Golden Agri-Res,E5H,-246
stocks,Golden Energy,AUE,-247
stocks,Goodland,5PC,-248
stocks,GP Industries,G20,-249
stocks,Grand Banks,G50,-250
stocks,Grand Venture,JLB,-251
stocks,Great Eastern,G07,-252
stocks,Green Build^,Y06,-253
stocks,GRP^,BLU,-254
stocks,GS Hldg,43A,-255
stocks,GSH,BDX,-256
stocks,GSS Energy,41F,-257
stocks,Guoan Intl,G11,-258
stocks,GuocoLand,F17,-259
stocks,GYP Properties^,AWS,-260
stocks,Hafary,5VS,-261
stocks,Hai Leck,BLH,-262
stocks,Halcyon Agri,5VJ,-263
stocks,Hanwell,DM0,-264
stocks,Hatten Land,PH0,-265
stocks,Haw Par,H02,-266
stocks,HC Surgical,1B1,-267
stocks,HealthBank,40B,-268
stocks,Healthway Med,5NG,-269
stocks,Heatec Jietong,5OR,-270
stocks,Heeton,5DP,-271
stocks,Hengyang Petro,5PD,-272
stocks,HG Metal,BTG,-273
stocks,Hi-P,H17,-274
stocks,Hiap Hoe,5JK,-275
stocks,Hiap Seng^,510,-276
stocks,Hiap Tong,5PO,-277
stocks,HL Global Ent,AVX,-278
stocks,Ho Bee Land,H13,-279
stocks,Hock Lian Seng,J2T,-280
stocks,Hoe Leong^,H20,-281
stocks,Hong Fok,H30,-282
stocks,Hong Lai Huat,CTO,-283
stocks,Hong Leong Asia,H22,-284
stocks,Hong Leong Fin,S41,-285
stocks,HongkongLand USD,H78,-286
stocks,Hor Kew^,BBP,-287
stocks,Hosen,5EV,-288
stocks,Hotel Grand,H18,-289
stocks,Hotel Royal,H12,-290
stocks,Hotung Inv,BLS,-291
businesstrusts,HPH Trust SGD,P7VU,-292
businesstrusts,HPH Trust USD,NS8U,-293
stocks,HPL,H15,-294
stocks,HRnetGroup,CHZ,-295
stocks,Hu An Cable^,KI3,-296
stocks,HuanHsin^,H16,-297
stocks,Huationg Global,41B,-298
stocks,Hwa Hong,H19,-299
stocks,Hyflux,600,-300
stocks,Hyphens Pharma,1J5,-301
stocks,ICP Ltd,5I4,-302
stocks,IEV,5TN,-303
stocks,IFAST,AIY,-304
stocks,IFS Capital,I49,-305
stocks,IHH,Q0F,-306
stocks,Imperium Crown,5HT,-307
stocks,Inch Kenneth,I4R,-308
stocks,Incredible,RDR,-309
stocks,Indofood Agri,5JS,-310
stocks,Informatics^,BOU,-311
stocks,InnoPac^,I26,-312
stocks,InnoTek,M14,-313
stocks,Interra Resource^,5GI,-314
stocks,Intl Cement^,KUO,-315
stocks,Intraco,I06,-316
stocks,IP Softcom,571,-317
stocks,IPC Corp,AZA,-318
stocks,IPS Securex,42N,-319
reits,IREIT Global,UD1U,-320
etfs,IS ASIA BND S$D,QL2,-321
etfs,IS ASIA BND US$,N6M,-322
etfs,IS ASIA HYG S$D,QL3,-323
etfs,IS ASIA HYG US$,O9P,-324
etfs,IS MS INDIA S$D,QK9,-325
etfs,IS MS INDIA US$,I98,-326
stocks,ISDN,I07,-327
stocks,ISEC,40T,-328
stocks,Isetan,I15,-329
stocks,ISOTeam,5WF,-330
stocks,IX Biopharma,42C,-331
stocks,Jackspeed^,J17,-332
stocks,Jadason^,J03,-333
stocks,Japan Foods,5OI,-334
stocks,Japfa,UD2,-335
stocks,Jardine C&C,C07,-336
stocks,Jason Marine,5PF,-337
stocks,Jasper Inv^,FQ7,-338
stocks,Jawala,1J7,-339
stocks,JB Foods,BEW,-340
stocks,JCG Investment,VFP,-341
stocks,JEP,1J4,-342
stocks,JES Intl,EG0,-343
stocks,Jiutian Chemical,C8R,-344
stocks,JMH USD,J36,-345
stocks,Joyas Intl,E9L,-346
stocks,JSH USD,J37,-347
stocks,Jubilee,NHD,-348
stocks,Jumbo,42R,-349
stocks,Karin Tech,K29,-350
stocks,Katrina,1A0,-351
stocks,Kencana Agri^,BNE,-352
stocks,Keong Hong,5TT,-353
businesstrusts,Kep Infra Tr,A7RU,-354
reits,KepPacOakReitUSD,CMOU,-355
stocks,Keppel Corp,BN4,-356
reits,Keppel DC Reit,AJBU,-357
reits,Keppel Reit,K71U,-358
stocks,Khong Guan,K03,-359
stocks,KimHeng Offshore,5G2,-360
stocks,Kimly,1D0,-361
stocks,King Wan,554,-362
stocks,KingsmenCreative,5MZ,-363
stocks,Kitchen Culture,5TI,-364
stocks,KLW,504,-365
stocks,Koda,BJZ,-366
stocks,Koh Bros,K75,-367
stocks,Koh Eco,5HV,-368
stocks,Koon,5DL,-369
stocks,KOP,5I1,-370
stocks,Kori,5VC,-371
stocks,Koufu,VL6,-372
stocks,Koyo Intl,5OC,-373
stocks,KrisEnergy,SK3,-374
stocks,KS Energy^,578,-375
stocks,KSH,ER0,-376
stocks,KTL Global^,EB7,-377
stocks,KTMG,XCF,-378
stocks,Lafe^,AYB,-379
stocks,Lasseters Intl,5EL,-380
stocks,LCT,BJL,-381
stocks,Leader Env^,LS9,-382
reits,Lendlease Reit,JYEU,-383
stocks,Ley Choon,Q0X,-384
stocks,LHN,41O,-385
stocks,LHT,BEI,-386
stocks,Lian Beng,L03,-387
stocks,Libra,5TR,-388
stocks,LifeBrandz,1D3,-389
stocks,Linc Energy,BRE,-390
stocks,Lion Asiapac,BAZ,-391
etfs,LION-PHILLIP S-REIT,CLR,-392
stocks,LionGold,A78,-393
reits,Lippo Malls Tr,D5IU,-394
stocks,Lonza,O6Z,-395
stocks,Lorenzo Intl^,5IE,-396
stocks,Low Keng Huat,F1E,-397
stocks,Lum Chang,L19,-398
stocks,Lung Kee Bermuda,L09,-399
stocks,Luxking,BKK,-400
stocks,Luzhou Bio-Chem^,L46,-401
stocks,LY Corp,1H8,-402
etfs,Lyxor Asia US$,P60,-403
etfs,Lyxor ChinaH US$,P58,-404
etfs,Lyxor EM Mkt US$,H1N,-405
etfs,Lyxor MSIndia US$,G1N,-406
stocks,M Development^,N14,-407
stocks,Magnus Energy,41S,-408
stocks,Man Oriental USD,M04,-409
stocks,Manhattan Res^,L02,-410
reits,ManulifeReit USD,BTOU,-411
reits,Mapletree Com Tr,N2IU,-412
reits,Mapletree Ind Tr,ME8U,-413
reits,Mapletree Log Tr,M44U,-414
reits,Mapletree NAC Tr,RW0U,-415
stocks,MarcoPolo Marine,5LY,-416
stocks,Maruwa Yen1k,M12,-417
stocks,Mary Chia,5OX,-418
stocks,Matex Intl,M15,-419
stocks,Maxi-Cash Fin,5UF,-420
stocks,MDR,A27,-421
stocks,Medinex,OTX,-422
stocks,Medtecs Intl,546,-423
stocks,MegaChem,5DS,-424
stocks,MeGroup,SJY,-425
stocks,Memiontec,SYM,-426
stocks,Memories,1H4,-427
stocks,Memstar Tech,5MS,-428
stocks,Mencast^,5NF,-429
stocks,Mercurius,5RF,-430
stocks,Mermaid Maritime,DU4,-431
stocks,Metal Component,5DX,-432
stocks,Metech Intl,V3M,-433
stocks,Metro,M01,-434
stocks,Mewah Intl,MV4,-435
stocks,MFG Integration,M11,-436
stocks,Micro-Mechanics,5DD,-437
stocks,Midas,5EN,-438
stocks,MindChamps,CNE,-439
stocks,Mirach Energy^,AWO,-440
stocks,Miyoshi,M03,-441
stocks,MM2 Asia,1B0,-442
stocks,MMP Resources^,F3V,-443
stocks,MoneyMax Fin,5WJ,-444
stocks,Moya Asia,5WE,-445
stocks,MS Hldgs,40U,-446
stocks,MSC,NPW,-447
stocks,MSM Intl,5QR,-448
stocks,MTQ,M05,-449
stocks,Multi-Chem,AWZ,-450
stocks,Mun Siong Engg^,MF6,-451
stocks,Murata Yen1k,PJX,-452
stocks,MYP,F86,-453
stocks,Nam Cheong,N4E,-454
stocks,Nam Lee Metal,G0I,-455
stocks,Natural Cool,5IF,-456
stocks,NauticAWT,42D,-457
stocks,Neo,5UJ,-458
stocks,NeraTel,N01,-459
stocks,Net Pacific Fin,5QY,-460
businesstrusts,NetLink NBN Tr,CJLU,-461
stocks,New Silkroutes,BMT,-462
stocks,New Toyo,N08,-463
stocks,New Wave,5FX,-464
stocks,NGSC^,B07,-465
stocks,Nico Steel^,5GF,-466
etfs,Nikko AM STI ETF,G3B,-467
etfs,NikkoAM SGD IGBond ETF,MBH,-468
etfs,NikkoAM-STC Asia REIT,CFA,-469
etfs,NikkoAM-STC A_REIT US$,COI,-470
stocks,Nippecraft,N32,-471
stocks,No Signboard,1G6,-472
stocks,Noble,CGP,-473
stocks,Noel Gifts Intl,543,-474
stocks,Nomura Yen1k,N33,-475
stocks,Nordic,MR7,-476
stocks,NSL,N02,-477
stocks,Ntegrator Intl,5HC,-478
stocks,NutryFarm^,AZT,-479
stocks,OCBC Bank,O39,-480
stocks,Ocean Sky Intl,1B6,-481
stocks,Oceanus^,579,-482
stocks,OEL,584,-483
stocks,OKH Global^,S3N,-484
stocks,OKP,5CF,-485
stocks,Olam Intl,O32,-486
stocks,Old Chang Kee,5ML,-487
stocks,Olive Tree,1H2,-488
stocks,OneApex,5SY,-489
etfs,ONESTOXXASEAN US$,CFN,-490
stocks,Ossia Intl^,O08,-491
stocks,OUE,LJ3,-492
reits,OUE Com Reit,TS0U,-493
stocks,OUE Lippo HC,5WA,-494
stocks,Ouhua Energy^,AJ2,-495
stocks,Overseas Edu,RQ1,-496
stocks,Oxley,5UX,-497
stocks,P5 Capital,5AI,-498
stocks,Pacific Andes,P11,-499
stocks,Pacific Century,P15,-500
stocks,Pacific Radiance,T8V,-501
stocks,Pacific Star Dev,1C5,-502
stocks,Pan Asian,5EW,-503
stocks,Pan Hong,P36,-504
stocks,Pan Ocean,AZY,-505
stocks,PanUnited,P52,-506
stocks,Parkson Retail^,O9E,-507
reits,ParkwayLife Reit,C2PU,-508
stocks,Pavillon^,596,-509
stocks,PEC,IX2,-510
stocks,Penguin Intl,BTM,-511
stocks,Perennial Hldgs,40S,-512
stocks,Pharmesis Intl,BFK,-513
etfs,PHIL AP DIV REIT S$D,BYJ,-514
etfs,PHIL AP DIV REIT US$,BYI,-515
etfs,PHIL SING INC,OVQ,-516
stocks,Pine Cap,ADJ,-517
stocks,Plastoform^,AYD,-518
stocks,Plato Capital,5PI,-519
stocks,PNE Industries,BDA,-520
stocks,Polaris,5BI,-521
stocks,Pollux Prop,5AE,-522
stocks,Powermatic Data,BCY,-523
reits,Prime US ReitUSD,OXMU,-524
etfs,PRINCIPAL ASEAN40 S$D,QS0,-525
etfs,PRINCIPAL ASEAN40 US$,M62,-526
etfs,PRINCIPAL S&P AP DIV S$D,QR9,-527
etfs,PRINCIPAL S&P AP DIV US$,P5P,-528
stocks,Procurri,BVQ,-529
stocks,Progen,583,-530
stocks,PropNex,OYY,-531
stocks,Prudential USD,K6S,-532
stocks,PSL^,BLL,-533
stocks,Q&M Dental,QC7,-534
stocks,QAF,Q01,-535
stocks,Qian Hu^,BCV,-536
stocks,QT Vascular,5I0,-537
stocks,Raffles Edu,NR7,-538
stocks,Raffles Infrastructure^,LUY,-539
stocks,Raffles Medical,BSL,-540
stocks,RE&S Hldg,1G1,-541
stocks,Reclaims Global,NEX,-542
